description,categories
ravitaillement préparé boucherie,Food
Free - gaz,Bills
fromage en livraison,Food
Frais de pass,Transport
redevance,Bills
Visite brushing,Other
eau mensuel,Bills
spécialiste - pédiatrie,Healthcare
Achat chaise chez commerce,Shopping
Paiement streaming Suez,Bills
achat varié,Other
dîner chez Franprix,Food
Séance dentiste,Healthcare
course en rickshaw,Transport
Achat fer à repasser chez Jules,Shopping
dépannage,Other
Engie - fibre,Bills
Billet RER,Transport
concours,Education
Place show,Entertainment
Facture officine,Healthcare
Place one-man-show,Entertainment
tuk-tuk - trajet,Transport
Cadeau - papeterie,Shopping
Repas au Auchan,Food
Commande Cdiscount,Shopping
Visite brushing,Other
autoroute taxi,Transport
Achat fer à repasser chez Kiabi,Shopping
fond de teint,Shopping
Facture cabinet dentaire,Healthcare
demi-pension,Education
Entrée accrobranche,Entertainment
impression,Other
veste chez H&M,Shopping
épilation,Other
Achat disque dur,Shopping
goûter de œufs,Food
Frais de ticket,Transport
Ticket sport,Entertainment
baskets chez Uniqlo,Shopping
dîner à emporter Burger King,Food
trottinette vers arrêt,Transport
Rendez-vous dentiste,Healthcare
Place opéra,Entertainment
opéra du soir,Entertainment
chiropracteur - cardiologie,Healthcare
Achat Nintendo,Entertainment
lavage BlaBlaCar,Transport
Ticket sport,Entertainment
Cours biologie,Education
Livraison KFC,Food
Achat chaussettes,Shopping
Ticket F1,Entertainment
chauffage collectif mensuel,Bills
Achat chemise,Shopping
Frais de réparation,Transport
timbre,Other
essence,Transport
Séance gynécologue,Healthcare
Achat appareil photo,Shopping
entretien navette,Transport
Consultation psychiatre,Healthcare
menu quotidien supermarché,Food
auto - trajet,Transport
Paiement gaz Netflix,Bills
Achat décoration chez Uniqlo,Shopping
emplettes de bonbons,Food
Achat clavier,Shopping
leçon,Education
Spotify mensuel,Entertainment
Frais litière,Other
tuk-tuk - navette,Transport
Abonnement gaz,Bills
Facture ligne,Bills
scanner,Shopping
quittance ADSL,Bills
Cadeau - montre,Shopping
assiette,Shopping
intervention,Healthcare
AliExpress - appareil photo,Shopping
conférence,Education
cotisation,Healthcare
TGV vers arrêt,Transport
Achat jupe,Shopping
streaming mensuel,Bills
micro-ondes,Shopping
achat McDonald's,Food
Facture eau,Bills
rickshaw vers terminal,Transport
DUT - inscription,Education
Achat bouilloire chez Kiabi,Shopping
radio médical,Healthcare
Rendez-vous dentiste,Healthcare
Achat médicaments clinique,Healthcare
Consultation ostéopathe,Healthcare
Cadeau - livre,Shopping
spectacle du soir,Entertainment
LinkedIn Learning,Education
Consultation ORL,Healthcare
Cadeau - jouet,Shopping
Frais de réparation,Transport
ordures ménagères,Bills
eBay - clé USB,Shopping
Facture laboratoire,Healthcare
mutuelle,Healthcare
OCS mensuel,Entertainment
retour en tricycle,Transport
mammographie médical,Healthcare
copropriété mensuel,Bills
Abonnement YouTube Premium,Entertainment
Achat chargeur,Shopping
SP98,Transport
Ticket F1,Entertainment
Frais de révision,Transport
maison mensuel,Bills
Facture pharmacie,Healthcare
Amazon Prime mensuel,Entertainment
facture fixe,Bills
vol vers gare,Transport
Ticket de VTC,Transport
rappel,Healthcare
Commande Cdiscount,Shopping
appareil photo,Shopping
Facture ligne,Bills
permis de conduire,Education
couverture santé,Healthcare
décoration,Shopping
transport en VTC,Transport
Frais grooming,Other
Billet musée,Entertainment
Visite épilation,Other
relais colis,Other
aller-retour scooter,Transport
Service dépannage,Other
soin,Healthcare
Billet tramway,Transport
Achat médicaments hôpital,Healthcare
snack hebdomadaire McDonald's,Food
ravitaillement,Transport
Repas au Carrefour,Food
Nintendo,Entertainment
Repas au Casino,Food
loyer mensuel,Bills
Engie - WiFi,Bills
Croix-Rouge,Other
rickshaw - transfert,Transport
brunch chez marché,Food
Commande fast-food,Food
Repas au fromagerie,Food
Abonnement internet,Bills
Recharge SP98,Transport
toilettage,Other
Séance pédiatre,Healthcare
bandage,Healthcare
fibre mensuel,Bills
Achat classeur,Education
viennoiseries surgelé,Food
commission surgelé Franprix,Food
chauffage collectif mensuel,Bills
Achat gomme,Education
Leboncoin - AirPods,Shopping
diplôme,Education
Facture WiFi,Bills
tutorat,Education
en-cas préparé supermarché,Food
réparation chaussures,Other
Achat gomme,Education
Facture Total Energies,Bills
Achat Samsung,Shopping
Entrée escape game,Entertainment
Commande Vinted,Shopping
savon,Shopping
vernissage du soir,Entertainment
conduite,Education
commission KFC,Food
Abonnement Canal+,Entertainment
don,Other
pédiatre - pneumologie,Healthcare
transport en BlaBlaCar,Transport
reçu ligne,Bills
BTS - internat,Education
SFR - fixe,Bills
casserole,Shopping
loyer mensuel,Bills
Déjeuner au épicerie,Food
Achat Nintendo Switch Online,Entertainment
RED - électricité,Bills
McDonald's - pain,Food
Achat médicaments officine,Healthcare
Déjeuner au restaurant,Food
Livraison fromagerie,Food
Consultation psychiatre,Healthcare
Entrée karting,Entertainment
robe chez magasin,Shopping
OCS - gaz,Bills
transport car,Transport
Commande Lidl,Food
TOEFL,Education
box mensuel,Bills
Ticket championnat,Entertainment
Cadeau - magazine,Shopping
Sortie cinéma,Entertainment
radio au cabinet dentaire,Healthcare
retour TGV,Transport
après-shampoing,Shopping
moniteur,Education
moto vers aéroport,Transport
buffet marché,Food
avion - retour,Transport
retour en tuk-tuk,Transport
Visite manucure,Other
déjeuner frais food court,Food
Achat cafetière chez H&M,Shopping
Cadeau - bijou,Shopping
petit-déjeuner de sel,Food
vernissage du soir,Entertainment
épices au poissonnerie,Food
Frais de réparation,Transport
biscuits du jour,Food
Achat tablette,Shopping
Bouygues - mobile,Bills
Achat papeterie,Education
taxe d'habitation,Bills
soin,Healthcare
Sortie show,Entertainment
yaourt au Burger King,Food
pressing,Other
sac chez Decathlon,Shopping
Paiement gaz Sosh,Bills
Free - électricité,Bills
Bouygues - fixe,Bills
Abonnement Deezer,Entertainment
timbre,Other
Achat jeu vidéo,Entertainment
salon de coiffure,Other
Achat médicaments service,Healthcare
Facture pharmacie,Healthcare
Restos du Cœur,Other
Abonnement Spotify,Entertainment
parfum,Shopping
Molotov mensuel,Entertainment
Formation SVT,Education
Rendez-vous sage-femme,Healthcare
échéance WiFi,Bills
aller-retour navette,Transport
Commande épicerie,Food
Facture RED,Bills
Consultation diététicien,Healthcare
eau mensuel,Bills
Achat compas,Education
aller-retour ferry,Transport
Cadeau - bijou,Shopping
achat chez KFC,Food
Frais véto,Other
KFC - fromage,Food
Facture EDF,Bills
courses marché,Food
Stage allemand,Education
Séance généraliste,Healthcare
coloscopie médical,Healthcare
Cdiscount - iPhone,Shopping
fromage frais,Food
Cadeau - livre,Shopping
maquillage,Shopping
assainissement,Bills
en-cas de thé,Food
Sortie galerie,Entertainment
Achat étagère chez Uniqlo,Shopping
Entrée parc d'attractions,Entertainment
tuk-tuk - aller-retour,Transport
Chronopost,Other
Formation physique,Education
général,Other
Master - réinscription,Education
acompte électricité,Bills
Facture Suez,Bills
Formation géographie,Education
Coursera,Education
fruits au poissonnerie,Food
Cours programmation,Education
spectacle du soir,Entertainment
Commande food court,Food
Achat PlayStation,Entertainment
médicament,Healthcare
scooter - navette,Transport
Achat Xbox Game Pass,Entertainment
maintenance mensuel,Bills
Achat MacBook,Shopping
nutritionniste - neurologie,Healthcare
Formation programmation,Education
fond de teint,Shopping
Nintendo,Entertainment
aller car,Transport
Livraison hypermarché,Food
Achat laptop,Shopping
fruits préparé,Food
Rendez-vous docteur,Healthcare
tapis,Shopping
prélèvement box,Bills
Achat médicaments laboratoire,Healthcare
trajet bus,Transport
cantine - chocolat,Food
en-cas de gâteau,Food
Sans Plomb 95,Transport
Abonnement Apple TV+,Entertainment
dépistage médical,Healthcare
Ticket de bus,Transport
